Year,Film,Song,Composer,
2013,Kadal,Adiye,A. R. Rahman,
2015,Kadal,Ennodu Nee Irundhaal,A. R. Rahman,
2015,Kadal,Ennodu Nee Irundhaal(Reprise),A. R. Rahman,
2015,Naanum Rowdy Dhaan,Yennai Mattrum Kadhale,Anirudh Ravichander,
2016,24,Mei Nigara,A. R. Rahman,
2016,Achcham Yenbadhu Madamaiyada,Thalli Pogathey,A. R. Rahman,
2016,Kavalai Vendam,Nee Tholaindhaayo,Leon James,
2016,Kattappavae Kaanom,Hey Penne,Santhosh Dhayanidhi,
2016,Rum,Alladhe Siragiye,Anirudh Ravichander,
2017,Enai Noki Paayum Thota,Maruvaarthai,Darbuka Siva,
2017,Veera,Verrattaama Verratturiye,Leon James,
2017,Single Album,Po Po Yen,A H Kaashif,
2017,Yaadhumagi Nindraai,Aagayam Thaayaga,Ashwin Vinayagamoorthy,
2017,Server Sundaram,Kannal Modhadhey,Santhosh Narayanan,
2017,Sachin: A Billion Dreams (D),Sachin Sachin,A. R. Rahman,
2017,Sachin: A Billion Dreams (D),Kalam Salaam,Ghibran,
2017,Mersal,Maacho,A. R. Rahman,
2017,Meyaadha Maan,Nee Mattum Podhum,Pradeep Kumar,
2018,Tik Tik Tik,Kurumba,D. Imman,
2018,Pyaar Prema Kaadhal,High on Love,Yuvan Shankar Raja,
2018,Single Album,Kaadhal,A H Kaashif,
2018,Independent Single,Kannil Mazhai,B Prasanna,
2018,Adhitri,Chinnanjiru Kiliye,"Mahakavi Bharathiyar. Produced, Arranged by Sid Sriram",
2018,Kanaa,Oonjala,Dhibu Ninan Thomas,
2018,Vidhi Madhi Ultaa,Un Nerukkam,Ashwin Vinayagamoorthi,
2018,2,Endhira Logathu Sundariye,A. R. Rahman,
2018,2,Raajaali,A. R. Rahman,
2018,Vada Chennai,Ennadi Maayavi Nee,Santhosh Narayanan,
2018,Sarkar,OMG Ponnnu,A. R. Rahman,
2018,Kaatrin Mozhi,Po Urave,A H Kaashif,
2018,Viswasam,Kannaana Kanney,D Imman,
2019,LKG,Tamizh Anthem Song,Leon James,
2019,Thadam,Inaye,Arun Raj,
2019,Airaa,Kaariga,Sundaramurthy KS,
2019,Uriyadi 2,Vaa Vaa Penne,Govind Vasantha,
2019,Mr. Local,Nee Nenacha,Hiphop Tamizha,
2019,Monster,Anthi Maalai,Justin Prabhakaran,
2019,Bakrid,Aalanguruvigala,D. Imman,
2019,Pancharaaksharam,Theerathe,sundharamurthy KS,
2019,Oththa Seruppu Size 7,Kulirudha Pulla,Santhosh Narayanan,
2019,NGK,Anbae Peranbae,Yuvan Shankar Raja,
2019,Angelina,Oru Naal,D.Imman,
2019,Jasmine,Lesa Valichudha,C.Sathya,
2019,Dear Comrade (Dubbed version),Pularaadha,Justin Prabhakaran,
2019,Kadaram Kondan,Thaarame Thaarame,Ghibran,
2019,Gorilla,Yaaradiyo,Sam C.S.,
2019,Namma Veettu Pillai,Unkoodave Porakkanum (Brother's Version),D. Imman,
2019,Adithya Varma,Yaen Ennai Pirindhai,Radhan,
